830637;100014;Старший специалист;Владимир;06.02.2023;23;13
773673;100003;Ведущий специалист;Уфа;06.02.2023;27;14
18087;100008;Ведущий специалист;Уфа;07.02.2023;73;5
359919;100010;Старший специалист;Иваново;07.02.2023;21;12
733849;100011;Ведущий специалист;Уфа;07.02.2023;95;12
825997;100013;Старший специалист;Хабаровск;07.02.2023;32;4
435535;100001;Главный специалист;Владимир;07.02.2023;35;13
773673;100003;Ведущий специалист;Уфа;07.02.2023;25;7
721850;100004;Старший специалист;Иваново;07.02.2023;73;14
697888;100005;Главный специалист;Уфа;07.02.2023;64;7
943677;100006;Старший специалист;Иваново;07.02.2023;78;12
331068;100007;Ведущий специалист;Владимир;07.02.2023;98;11
763428;100009;Старший специалист;Уфа;07.02.2023;70;13
830637;100014;Старший специалист;Владимир;07.02.2023;75;10
435535;100001;Главный специалист;Владимир;08.02.2023;33;7
773673;100003;Ведущий специалист;Уфа;08.02.2023;41;12
721850;100004;Старший специалист;Иваново;08.02.2023;96;10
697888;100005;Главный специалист;Уфа;08.02.2023;30;12
943677;100006;Старший специалист;Иваново;08.02.2023;96;14
331068;100007;Ведущий специалист;Владимир;08.02.2023;60;6
18087;100008;Ведущий специалист;Уфа;08.02.2023;34;10
763428;100009;Старший специалист;Уфа;08.02.2023;30;12
733849;100011;Ведущий специалист;Уфа;08.02.2023;37;4
825997;100013;Старший специалист;Хабаровск;08.02.2023;39;14
830637;100014;Старший специалист;Владимир;08.02.2023;26;4
419323;100002;Главный специалист;Иваново;08.02.2023;50;14
18087;100008;Ведущий специалист;Уфа;09.02.2023;29;8
763428;100009;Старший специалист;Уфа;09.02.2023;46;6
359919;100010;Старший специалист;Иваново;09.02.2023;60;9
733849;100011;Ведущий специалист;Уфа;09.02.2023;56;7
324848;100012;Ведущий специалист;Владимир;09.02.2023;56;14
825997;100013;Старший специалист;Хабаровск;09.02.2023;93;9
830637;100014;Старший специалист;Владимир;09.02.2023;83;5
435535;100001;Главный специалист;Владимир;09.02.2023;27;8
419323;100002;Главный специалист;Иваново;09.02.2023;74;5
773673;100003;Ведущий специалист;Уфа;09.02.2023;38;5
721850;100004;Старший специалист;Иваново;09.02.2023;20;11
697888;100005;Главный специалист;Уфа;09.02.2023;70;9
331068;100007;Ведущий специалист;Владимир;09.02.2023;58;4
435535;100001;Главный специалист;Владимир;10.02.2023;33;7
419323;100002;Главный специалист;Иваново;10.02.2023;77;9
773673;100003;Ведущий специалист;Уфа;10.02.2023;82;9
721850;100004;Старший специалист;Иваново;10.02.2023;54;10
697888;100005;Главный специалист;Уфа;10.02.2023;64;7
943677;100006;Старший специалист;Иваново;10.02.2023;46;14
331068;100007;Ведущий специалист;Владимир;10.02.2023;90;11
18087;100008;Ведущий специалист;Уфа;10.02.2023;49;10
763428;100009;Старший специалист;Уфа;10.02.2023;95;7
359919;100010;Старший специалист;Иваново;10.02.2023;55;7
733849;100011;Ведущий специалист;Уфа;10.02.2023;57;6
830637;100014;Старший специалист;Владимир;10.02.2023;79;12
763428;100009;Старший специалист;Уфа;11.02.2023;55;12
359919;100010;Старший специалист;Иваново;11.02.2023;27;12
733849;100011;Ведущий специалист;Уфа;11.02.2023;41;10
324848;100012;Ведущий специалист;Владимир;11.02.2023;88;9
825997;100013;Старший специалист;Хабаровск;11.02.2023;87;6
830637;100014;Старший специалист;Владимир;11.02.2023;93;8
435535;100001;Главный специалист;Владимир;11.02.2023;94;7
419323;100002;Главный специалист;Иваново;11.02.2023;20;13
773673;100003;Ведущий специалист;Уфа;11.02.2023;32;9
721850;100004;Старший специалист;Иваново;11.02.2023;63;11
697888;100005;Главный специалист;Уфа;11.02.2023;77;7
943677;100006;Старший специалист;Иваново;11.02.2023;95;13
331068;100007;Ведущий специалист;Владимир;11.02.2023;44;4
18087;100008;Ведущий специалист;Уфа;11.02.2023;40;5
419323;100002;Главный специалист;Иваново;12.02.2023;56;11
773673;100003;Ведущий специалист;Уфа;12.02.2023;36;8
721850;100004;Старший специалист;Иваново;12.02.2023;91;10
943677;100006;Старший специалист;Иваново;12.02.2023;76;11
18087;100008;Ведущий специалист;Уфа;12.02.2023;38;7
