359919;100010;Старший специалист;Иваново;11.01.2023;99;5
324848;100012;Ведущий специалист;Владимир;11.01.2023;32;12
825997;100013;Старший специалист;Хабаровск;11.01.2023;81;13
943677;100006;Старший специалист;Иваново;11.01.2023;50;5
18087;100008;Ведущий специалист;Уфа;12.01.2023;29;9
763428;100009;Старший специалист;Уфа;12.01.2023;93;4
733849;100011;Ведущий специалист;Уфа;12.01.2023;58;9
324848;100012;Ведущий специалист;Владимир;12.01.2023;95;11
825997;100013;Старший специалист;Хабаровск;12.01.2023;63;9
419323;100002;Главный специалист;Иваново;12.01.2023;22;7
721850;100004;Старший специалист;Иваново;12.01.2023;86;5
697888;100005;Главный специалист;Уфа;12.01.2023;93;5
943677;100006;Старший специалист;Иваново;12.01.2023;55;12
331068;100007;Ведущий специалист;Владимир;12.01.2023;45;4
359919;100010;Старший специалист;Иваново;12.01.2023;52;11
435535;100001;Главный специалист;Владимир;13.01.2023;43;9
419323;100002;Главный специалист;Иваново;13.01.2023;63;11
773673;100003;Ведущий специалист;Уфа;13.01.2023;78;11
721850;100004;Старший специалист;Иваново;13.01.2023;28;8
697888;100005;Главный специалист;Уфа;13.01.2023;86;12
331068;100007;Ведущий специалист;Владимир;13.01.2023;34;5
18087;100008;Ведущий специалист;Уфа;13.01.2023;80;7
763428;100009;Старший специалист;Уфа;13.01.2023;43;5
359919;100010;Старший специалист;Иваново;13.01.2023;34;12
733849;100011;Ведущий специалист;Уфа;13.01.2023;42;6
324848;100012;Ведущий специалист;Владимир;13.01.2023;88;14
825997;100013;Старший специалист;Хабаровск;13.01.2023;81;13
830637;100014;Старший специалист;Владимир;13.01.2023;42;10
763428;100009;Старший специалист;Уфа;14.01.2023;39;4
359919;100010;Старший специалист;Иваново;14.01.2023;93;6
733849;100011;Ведущий специалист;Уфа;14.01.2023;35;7
324848;100012;Ведущий специалист;Владимир;14.01.2023;34;8
830637;100014;Старший специалист;Владимир;14.01.2023;52;8
419323;100002;Главный специалист;Иваново;14.01.2023;80;12
773673;100003;Ведущий специалист;Уфа;14.01.2023;98;8
721850;100004;Старший специалист;Иваново;14.01.2023;76;12
697888;100005;Главный специалист;Уфа;14.01.2023;79;6
943677;100006;Старший специалист;Иваново;14.01.2023;20;5
825997;100013;Старший специалист;Хабаровск;14.01.2023;96;14
435535;100001;Главный специалист;Владимир;15.01.2023;79;8
419323;100002;Главный специалист;Иваново;15.01.2023;98;6
721850;100004;Старший специалист;Иваново;15.01.2023;52;11
697888;100005;Главный специалист;Уфа;15.01.2023;60;4
331068;100007;Ведущий специалист;Владимир;15.01.2023;97;6
18087;100008;Ведущий специалист;Уфа;15.01.2023;47;10
763428;100009;Старший специалист;Уфа;15.01.2023;45;13
359919;100010;Старший специалист;Иваново;15.01.2023;41;11
324848;100012;Ведущий специалист;Владимир;15.01.2023;92;13
830637;100014;Старший специалист;Владимир;15.01.2023;96;4
773673;100003;Ведущий специалист;Уфа;15.01.2023;89;5
943677;100006;Старший специалист;Иваново;15.01.2023;70;10
763428;100009;Старший специалист;Уфа;16.01.2023;70;10
359919;100010;Старший специалист;Иваново;16.01.2023;91;11
733849;100011;Ведущий специалист;Уфа;16.01.2023;49;8
825997;100013;Старший специалист;Хабаровск;16.01.2023;40;11
830637;100014;Старший специалист;Владимир;16.01.2023;74;10
435535;100001;Главный специалист;Владимир;16.01.2023;100;12
419323;100002;Главный специалист;Иваново;16.01.2023;47;6
773673;100003;Ведущий специалист;Уфа;16.01.2023;27;11
721850;100004;Старший специалист;Иваново;16.01.2023;80;7
697888;100005;Главный специалист;Уфа;16.01.2023;42;6
943677;100006;Старший специалист;Иваново;16.01.2023;61;11
331068;100007;Ведущий специалист;Владимир;16.01.2023;68;12
18087;100008;Ведущий специалист;Уфа;16.01.2023;92;10
324848;100012;Ведущий специалист;Владимир;16.01.2023;70;12
773673;100003;Ведущий специалист;Уфа;17.01.2023;56;13
721850;100004;Старший специалист;Иваново;17.01.2023;47;7
697888;100005;Главный специалист;Уфа;17.01.2023;26;9
943677;100006;Старший специалист;Иваново;17.01.2023;21;10
763428;100009;Старший специалист;Уфа;17.01.2023;74;14
733849;100011;Ведущий специалист;Уфа;17.01.2023;51;11
324848;100012;Ведущий специалист;Владимир;17.01.2023;88;12
825997;100013;Старший специалист;Хабаровск;17.01.2023;75;6
435535;100001;Главный специалист;Владимир;17.01.2023;50;7
331068;100007;Ведущий специалист;Владимир;17.01.2023;77;4
18087;100008;Ведущий специалист;Уфа;18.01.2023;94;8
763428;100009;Старший специалист;Уфа;18.01.2023;31;10
359919;100010;Старший специалист;Иваново;18.01.2023;31;6
733849;100011;Ведущий специалист;Уфа;18.01.2023;67;14
324848;100012;Ведущий специалист;Владимир;18.01.2023;41;5
830637;100014;Старший специалист;Владимир;18.01.2023;89;9
419323;100002;Главный специалист;Иваново;18.01.2023;44;14
773673;100003;Ведущий специалист;Уфа;18.01.2023;47;4
